code              代码
corps             队
allergy           过敏
dollar            元
invent            发明
bomb              炸弹
row               行
const             常数
zone              地区
send              派遣去
environment       环境
tail              尾
popMusic          流行音乐
terror            恐怖
lord              领主
include           包含
fax               传真
queen             女王
string            字符串
fishnet           鱼网
void              无
fat               脂肪
choice            选择
scout             侦查
fan               扇子
awful             极讨厌的
join              参加
condition         状况
cool              酷的
heaven            天堂
prize             奖品
button            按钮
try               试一试
this              这个
vector            向量（数组）
round             圆
enjoy             享受
chew              咀嚼
brave             勇敢的
discover          发现
sign              标记
nail              指甲;钉子
fold              折叠
M6                M6
video             录像
M3                M3
reunion           重聚
noticeably        明显地
index             索引
dial              拨(电话)
hide              隐藏
postman           邮寄员
thunder           雷
celebrated        著名的
current           当前
toll              过路费
badge             徽章
public            公开的
disney            迪士尼
satisfy           使满意
hero              英雄
degree            度
tibet             西藏
bachelor          学士学位
china             瓷器
active            积极的
path              路径
box               盒子
vinegar           醋
convert           转换
bible             圣经
naval             海军的
healthy           健康的
shift             转换
unattend          无人在
usually           经常的
climb             攀登
nylon             尼龙
pillow            枕头
love              爱
heart             心脏
limp              软弱
private           私有的
exercise          运动
total             总数
cough             咳嗽
M5                M5
init              初始化
germ              微生物
themselves        他们自己
possession        财产
clever            机灵的C
relax             放松
afford            买得起
share             共享
musician          音乐家
heir              继承人
missile           导弹
stick             粘贴
ward              病房
must              一定
topic             题目
none              没有一个
fatal             致命的
slogan            口号
salad             沙拉
player            玩家
tunnel            隧道
blade             刀刃
sour              酸的
freedom           自由
cab               驾驶室
spy               间谍
stream            流
lock              锁定
tax               税
honey             蜂蜜
dropped           下降
pond              池塘
toothache         牙疼
end               结尾
goal              目标
rather            相当地
agony             痛苦
sword             剑
ancestor          祖先
pizza             比萨饼
fever             发烧
attend            出席
lad               小伙子
max               最大
clone             复制品
1smart            1机灵的
notebook          笔记本
discard           丢弃
date              日期
lap               膝上
grow              成长
noun              名词
crowded           拥挤的
maybe             也许
robot             机械人
dragon            龙
baggage           行李
verb              动词
ego               自我
enter             报名参加
pleasure          快乐
dream             梦想
outlet            出口
infant            婴儿
deck              甲班
move              搬家
radar             雷达
keyboard          键盘
hell              地狱
cold              感冒
still             仍然
mayor             市长
galaxy            星系
style             样式
group             组；群
window            窗口
fade              淡出
hobby             爱好
travelling        旅行
main              主要的
easier            更容易的
then              当时
flour             面粉
rotation          旋转
mystery           神秘人
opera             歌剧
token             筹码
fisherman         渔夫
arrow             箭
found             找到
side              边
lantern           灯笼
idea              主意
sportsman         运动员
schoolbag         书包
static            静态
expect            期盼
bay               湾
heave             举起
message           口信
out               出（外）
matrix            矩阵
entertainment     娱乐
since             自从
mess              凌乱的
encourage         鼓励
health            健康
playground        操场
monster           怪物
dirt              尘
siege             包围
cookie            小甜饼
put               在远方
ridge             脊
ore               矿
conquest          征服
Arabic            阿拉伯语
soda              苏打水
hence             因此
first             第一个
feel              觉得
scene             场景
sack              麻袋
pop               流行的
done              做完的
another           另一个
impossible        不可能的
comic             喜剧
mist              薄雾
miss              怀念的
size              大小
guess             猜测
ancient           古老的
jet               喷气式飞机
width             宽
bite              咬
system            系统
saint             圣人
spaceship         航天器
opening           口子
headache          头疼
stomach           肚子
that              那个
shelf             架子
gym               体育馆
hotel             酒店
hut               小屋
part              部分
western           西方的
rifle             步枪
copy              拷贝
king              国王
sailing           航海；航行
M4                M4
double            大的浮点数
project           计划
nervous           紧张的
light             光
M1                M1
toward            朝向
steep             陡的
rag               破布
illness           病
false             假
M2                M2
rat               鼠
waken             醒来
saw               锯子
spade             锹
min               最小
note              纸币
equipment         装备
internal          内部的
Germany           德意志
chess             国际象棋
online            在线
reach             到达
visa              签证
exercises         练习
alpha             透明
coin              硬币
class             类
appear            出现
lawn              草坪
clear             清除
proud             自豪的
once/ever         曾经
latest            最新的
salt              盐
bulletin          公告
golf              高尔夫
pope              教皇
show              显示
text              文字
random            随机
lengthwise        纵向
earth             地球
font              字体
gulf              海湾
menu              菜单
writer            作家
jar               罐子
state             状态
jam               果酱
pretty            秀丽的
riding            骑
wool              羊毛
local             地方的
hope              希望
reset             重置
mixture           混合物
triangle          三角
jazz              爵士乐
batter            面糊
perfection        完美
restart           从新开始
bat               蝙蝠
sleeve            袖子
artist            艺术家
ever              曾经
activite          活动
worried           担心的
troop             军队
landlord          地主
release           释放
set               放置
fair              金色的头发
physically        身体上
France            法兰西
individual        个人
result            后果
barn              谷仓
sail              帆
label             标签
mud               泥
enough            足够地
neither           也不
pistol            手枪
fight             战斗
missing           失踪的
screen            屏幕
weak              虚弱的
however           然而
souvenir          纪念品
guitar            吉他
news              新闻
cop               警察
last              最后的
ill               生病的
stirring          搅拌
col               列
loaf              面包
point             点
color             颜色
jeans             牛仔裤
harbour           港湾
height            高
laugh             笑
stamp             邮票
create            创造
cent              分
mark              分数
slowly            缓慢的
ireland           爱尔兰
brick             砖
lovely            可爱的
website           网站
life              生活
ghost             鬼魂
relaxing          令人放松
sunshine          日光S
external          外部的
drum              鼓
pilot             飞行员
sound             听起来
novel             小说
tank              坦克；罐；油箱
look              看起来
align             对齐
curd              控制
value             价值
ugly              丑的
suppose           猜想
error             错误
fleet             舰队
layer             层
pound             英镑
costly            昂贵的
purse             钱包
encouragement     鼓励
middle            中间的
in                加入
exile             流放的
violin            小提琴
rid               使摆脱
if                如果
grown             成年的
perhaps           可能
2clever           2机灵的
member            成员
dam               坝
island            岛
cement            水泥
kit               装备
user              使用者
extern            外部
cartoon           动画片
butter            黄油
weld              焊接
weapon            武器
well              健康的
person            成年人
edge              边缘
position          位置
model             模型
muscle            肌肉
preference        偏好
taxi              出租车
just              只是
true              真
sleepy            困的
valuable          有价值的
shape             形状
skill             技能
weekly            每周的
web               网状物
cut               切
ham               火腿
mix               混合
sky               天空
hay               干草
add               增加
wet               潮湿的
hat               帽子
pill              药丸
smart             聪明的S
take              量取
mor               更多
game              游戏
bandage           绷带
press             按
integer           整数
bit               一点
tick              记号
success           成功
onion             洋葱
candy             糖果
lightning         闪电
collect           收集
clay              粘土
output            输出
bamboo            竹子
soft              柔软的
page              页码
tastes            尝起来
interest          爱好
often             经常
humorous          幽默的
crown             王冠
hail              雹
sponge            海绵
empire            帝国
scale             缩放
for               用于
pet               宠物
tube              管
moon              月亮
e-mail            电子邮件
fog               雾
pea               豌豆
rub               擦
booklet           小册子
communicate       联系
rug               地毯
uneasy            不安的
universe          宇宙
ache              疼痛
tower             塔
on                在
of                什么的
chop              排骨
range             范围
islands           岛屿
glasses           眼镜
equally           同样地
own               自己的
image             图像
float             浮点数（小数）
lung              肺
lesson            经验
canal             运河
van               面包车
log               原木
prepare           准备
sunlight          日光L
imperial          帝国的
start             开始
handbook          手册
way               方面
forward           向前地
translate         位移
ago               以前
head              头
invite            邀请
heal              愈合
cloth             布
competition       比赛
solar             太阳的
ear               耳朵
with              用...
bud               发芽
handsome          英俊的
count             数
planet            行星
stramger          陌生人
zodiac            生肖
x-ray             X光
jewel             宝石
pie               派
char              字符
imagination       想象
inn               客栈
file              文件
ax                斧头
pit               地洞
as                当...的时候
cream             奶油
marxist           马克思主义者
lemon             柠檬
no                在（播放）中
virtual           虚拟的
sit-pus           仰卧起坐
astronaut         宇航员
trash             垃圾
smell             闻起来
node              节点
cellar            地下室
favourite         最喜爱的
billion           十亿
lane              小路
lead              率领
bullet            子弹
mask              面具
daily             每日的
strander          陌生人
impatient         不耐烦的
rural             农村的
backward          向后地
oral              口头的
unset             取消放置
liver             肝
