window          窗口
size            大小
box             盒子
current         当前
index           索引
col             列
row             行
layer           层
scene           场景
image           图像
button          按钮
game            游戏
init            初始化
path            路径
position        位置
move            移动
create          创建
release         释放
press           按
add             增加
end             结尾
menu            菜单
convert         转换
random          随机
min             最小
max             最大
alpha           透明
fade            淡出
scale           缩放
rotation        旋转
translate       位移
matrix          矩阵
in              进（里）
out             出（外）
of              什么的
with            和
for             为了（循环）
if              如果
set             放置
reset           重置
unset           取消放置
clear           清除
start           开始
restart         从新开始
width           宽
height          高
node            节点
shape           形状
true            真
false           假
static          静态
const           常数
class           类
include         包含
extern          外部
external        外部的
internal        内部的
virtual         虚拟的
void            无
on              在
public          公开的
private         私有的
vector          向量（数组）
integer         整数
float           浮点数（小数）
double          大的浮点数
color           颜色
point           点
player          玩家
result          结果
show            显示
hide            隐藏
head            头
tail            尾
last            最后的
first           第一个
code            代码
state           状态
none            空
lock            锁定
main            主要的（入口）
stream          流
text            文字
font            字体
char            字符
string          字符串
align           对齐
label           标签
count           计数
total           总数
sit-pus         仰卧起坐
pilot           飞行员
grow            成长
enough          足够地
hotel           酒店
maybe           也许
riding          骑
relax           放松
freedom         自由
neither         也不
web             网状物
physically      身体上
exercises       练习
cent            分
dropped         下降
stirring        搅拌
goal            目标
slowly          缓慢的
appear          出现
noticeably      明显地
choice          选择
sail            帆
travelling      旅行
enjoy           享受
relaxing        令人放松
islands         岛屿
ireland         爱尔兰
page            页码
climb           攀登
grown           成年的
island          岛
entertainment   娱乐
harbour         港湾
local           地方的
imagination     想象
disney          迪士尼
tibet           西藏
encouragement   鼓励
unattend        无人在
attend          出席
lantern         灯笼
fold            折叠
crowded         拥挤的
lengthwise      纵向
edge            边缘
celebrated      著名的
prepare         准备
reunion         重聚
hope            希望
zodiac          生肖
nail            指甲;钉子
allergy         过敏
souvenir        纪念品
possession      财产
equipment       装备
side            边
note            笔记
sign            标记
dial            拨(电话)
uneasy          不安的
cloth           布
part            部分
rub             擦
guess           猜
suppose         猜想
join            参加
playground      操场
wet             潮湿的
often           经常
western         西方的
preference      偏好
middle          中间的
miss            错过的
equally         同样地
usually         经常的
own             拥有
still           仍然
rather          相当地
however         然而
since           自从
main            主要的
idea            主意
round           圆
individual      个人
group           组
style           样式
themselves      他们自己
share           共享
another         另一个
range           范围
stick           粘贴
guess           猜测
easier          更容易的
collect         收集
discard         丢弃
toward          朝向
forward         向前地
backward        向后地
barn            谷仓
fishnet         鱼网
error           错误
fatal           致命的
file            文件
found           找到
mor             更多
degree          度
cream           奶油
mixture         混合物
butter          黄油
batter          面糊
golf        高尔夫
sportsman   运动员
gym         体育馆
rag         破布
purse       钱包
candy       糖果
muscle      肌肉
waken       醒来
sleeve      袖子
liver       肝
lung        肺
vinegar     醋
soda        苏打水
chew        咀嚼
ham         火腿
salad       沙拉
flour       面粉
loaf        面包
lemon       柠檬
onion       洋葱
pea         豌豆
germ        微生物
bandage     绷带
limp        软弱
pill        药丸
ward        病房
lad         小伙子
ego         自我
agony       痛苦
terror      恐怖
honey       蜂蜜
perfection  完美
mystery     神秘人
postman     邮寄员
e-mail      电子邮件
online      在线
video       录像
handbook    手册
weekly      每周的
ax          斧头
saw         锯子
cut         切
fat         脂肪
hat         帽子
cop         警察
fisherman   渔夫
notebook    笔记本
writer      作家
baggage     行李
inn         客栈
cab         驾驶室
van         面包车
taxi        出租车
log         原木
sunshine    日光S
sunlight    日光L
ore         矿
mud         泥
pit         地洞
missing     失踪的
user        使用者
hay         干草
booklet     小册子
marxist     马克思主义者
arrow       箭
missile     导弹
ghost       鬼魂
hell        地狱
china       瓷器
guitar      吉他
pop         流行的
popMusic    流行音乐
nylon       尼龙
bamboo      竹子
bud         发芽
dragon      龙
bat         蝙蝠
rat         鼠
keyboard    键盘
x-ray       X光
billion     十亿
robot       机械人
triangle    三角
ago         以前
website     网站
shift       转换
tax         税
rid         使摆脱
curd        控制
heal        愈合
life        生活
none        没有人
opening     口子
outlet      出口
heave       举起
screen      屏幕
output      输出
bit         一点
bite        咬
date        日期
