infant      婴儿
ancestor    祖先
worried     担心的
impatient   不耐烦的
badge       徽章
tick        记号
token       筹码
fax         传真
bulletin    公告
scout       侦查
hence       因此
mask        面具
oral        口头的
slogan      口号
noun        名词
verb        动词
novel       小说
topic       题目
bachelor    学士学位
blade       刀刃
chop        排骨
jar         罐子
kit         装备
sword       剑
spade       锹
comic       喜剧
sack        麻袋
chess       国际象棋
cartoon     漫画
pillow      枕头
brick       砖
cement      水泥
cellar      地下室
hut         小屋
rural       农村的
lane        小路
toll        过路费
tunnel      隧道
tube        管
deck        甲班
fleet       舰队
jet         喷气式飞机
dirt        尘
solar       太阳能
clay        粘土
canal       运河
lawn        草坪
ridge       脊
bay         湾
gulf        海湾
lap         膝上
dam         坝
pond        池塘
steep       陡的
visa        签证
fog         雾
hail        雹
lightning   闪电
mist        薄雾
thunder     雷
zone        地区
spy         间谍
mayor       市长
heir        继承人
empire      帝国
jewel       宝石
trash       垃圾
rug         地毯
weld        焊接
wool        羊毛
sponge      海绵
costly      昂贵的
landlord    地主
exile       流放的
corps       队
naval       海军的
troop       军队
tank        坦克；罐；油箱
bomb        炸弹
bullet      子弹
pistol      手枪
radar       雷达
rifle       步枪
weapon      武器
conquest    征服
siege       包围
bible       圣经
pope        教皇
monster     怪物
saint       圣人
clone       复制品
drum        鼓
jazz        爵士乐
musician    音乐家
violin      小提琴
opera       歌剧
crown       王冠
lord        领主
imperial    帝国的
