sound         听起来
look          看起来
smell       闻起来
tastes      尝起来
feel        觉得
soft        柔软的
sour        酸的
favourite   最喜爱的
nervous     紧张的
pretty      秀丽的
proud       自豪的
salt        盐
jam         果酱
jeans       牛仔裤
stramger    陌生人
message     口信
hobby       爱好
mark        分数
dream       梦想
prize       奖品
move        搬家
way         方面
king        国王
enter       报名参加
invite      邀请
tower       塔
afford      买得起
competition 比赛
send        派遣去
ancient     古老的
queen       女王
mix         混合
miss        怀念的
earth       地球
news        新闻
planet      行星
reach       到达
model       模型
spaceship   航天器
project     计划
latest      最新的
discover    发现
astronaut   宇航员
once/ever   曾经
environment 环境
system      系统
group       组；群
universe    宇宙
light       光
impossible  不可能的
communicate 联系
ache        疼痛
ill         生病的
illness      病
fever       发烧
headache    头疼
cough       咳嗽
toothache   牙疼
stomach     肚子
cold        感冒
since       自从
health      健康
heart       心脏
active      积极的
pet         宠物
member      成员
sleepy      困的
weak        虚弱的
exercise    运动
awful       极讨厌的
perhaps     可能
condition   状况
healthy     健康的
daily       每日的
cartoon     动画片
sky         天空
humorous    幽默的
lesson      经验
laugh       笑
brave       勇敢的
fight       战斗
cool        酷的
hero        英雄
handsome    英俊的
1smart      1机灵的
try         试一试
ugly        丑的
satisfy     使满意
own         自己的
artist      艺术家
2clever     2机灵的
mess        凌乱的
lead        率领
expect      期盼
private     私有的
invent      发明
as          当...的时候
heaven      天堂
copy        拷贝
create      创造
